Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,provideniya,64.3833,-173.3,57.31,62,0,8.95,RU,1624226543
1,qaanaaq,77.484,-69.3632,39.58,64,19,4.79,GL,1624226544
2,yen bai,21.7,104.8667,81.54,72,66,2.59,VN,1624226544
3,san andres,12.5847,-81.7006,82.8,79,45,17.05,CO,1624226544
4,plast,54.3691,60.8136,50.27,49,1,11.43,RU,1624226545
5,khatanga,71.9667,102.5,67.87,57,93,9.82,RU,1624226545
6,cape town,-33.9258,18.4232,70.09,12,0,9.22,ZA,1624226400
7,atuona,-9.8,-139.0333,79.07,76,14,16.78,PF,1624226545
8,tanout,14.9709,8.8879,89.96,33,95,4.85,NE,1624226546
9,flinders,-34.5833,150.8552,55.18,87,96,3.0,AU,1624226546
10,keetmanshoop,-26.5833,18.1333,59.68,37,0,15.17,NA,1624226546
11,ascension,30.2169,-90.9001,86.07,80,90,14.97,US,1624226547
12,ushuaia,-54.8,-68.3,34.92,85,98,10.71,AR,1624226508
13,esperance,-33.8667,121.9,53.56,79,100,8.16,AU,1624226547
14,punta arenas,-53.15,-70.9167,42.12,75,100,8.63,CL,1624226548
15,mus,39.0,41.75,59.72,36,0,1.07,TR,1624226548
16,vaini,-21.2,-175.2,75.16,74,52,5.06,TO,1624226548
17,marzuq,14.4,46.4667,77.56,43,99,4.85,YE,1624226549
18,miraflores,19.2167,-98.8083,75.87,60,100,4.61,MX,1624226549
19,faya,18.3851,42.4509,71.26,18,23,0.92,SA,1624226549
20,deming,32.2687,-107.7586,93.09,21,40,4.61,US,1624226549
21,jamestown,42.097,-79.2353,82.02,71,54,4.0,US,1624226290
22,taoudenni,22.6783,-3.9836,100.78,10,0,10.85,ML,1624226550
23,portland,45.5234,-122.6762,93.85,42,0,1.99,US,1624226433
24,chuy,-33.6971,-53.4616,48.45,85,32,5.88,UY,1624226550
25,new norfolk,-42.7826,147.0587,40.66,89,35,2.53,AU,1624226551
26,vila franca do campo,37.7167,-25.4333,64.81,76,13,8.59,PT,1624226551
27,east london,-33.0153,27.9116,70.02,35,22,7.67,ZA,1624226551
28,harper,4.375,-7.7169,76.78,86,98,9.84,LR,1624226552
29,yellowknife,62.456,-114.3525,57.72,44,20,12.66,CA,1624226345
30,nicoya,10.1483,-85.452,80.15,80,100,2.89,CR,1624226552
31,airai,-8.9266,125.4092,54.93,89,31,3.4,TL,1624226553
