Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luderitz,-26.6481,15.1594,66.4,45,0,3.11,NA,1624044342
1,lorengau,-2.0226,147.2712,79.21,78,100,2.1,PG,1624044343
2,hilo,19.7297,-155.09,78.8,77,75,0.0,US,1624044343
3,mayumba,-3.432,10.6554,74.75,90,18,7.4,GA,1624044343
4,mataura,-46.1927,168.8643,31.48,98,17,3.02,NZ,1624044346
5,nelson bay,-32.7167,152.15,59.0,72,100,3.0,AU,1624044347
6,ginda,30.6945,78.4932,63.12,76,92,3.36,IN,1624044347
7,khatanga,71.9667,102.5,62.98,74,32,6.11,RU,1624044100
8,puerto ayora,-0.7393,-90.3518,75.54,91,51,8.01,EC,1624044348
9,punta arenas,-53.15,-70.9167,39.31,81,0,5.75,CL,1624044348
10,ribeira grande,38.5167,-28.7,70.2,64,20,9.22,PT,1624044349
11,castro,-24.7911,-50.0119,57.47,86,100,4.12,BR,1624044298
12,vanderbijlpark,-26.7117,27.838,56.35,46,0,10.6,ZA,1624044349
13,atuona,-9.8,-139.0333,79.16,77,19,21.47,PF,1624044349
14,kapaa,22.0752,-159.319,80.92,76,40,3.0,US,1624044350
15,vaini,-21.2,-175.2,68.16,100,20,3.44,TO,1624044350
16,husavik,66.0449,-17.3389,42.71,75,98,6.93,IS,1624044121
17,albany,42.6001,-73.9662,83.26,45,100,1.01,US,1624044331
18,udachnyy,66.4167,112.4,65.82,44,100,4.34,RU,1624044123
19,rikitea,-23.1203,-134.9692,74.68,76,14,23.89,PF,1624044351
20,ushuaia,-54.8,-68.3,40.66,81,20,0.0,AR,1624044124
21,pevek,69.7008,170.3133,33.75,93,100,5.99,RU,1624044094
22,hualmay,-11.0964,-77.6139,69.93,75,68,11.45,PE,1624044351
23,saskylakh,71.9167,114.0833,66.4,56,99,14.27,RU,1624044108
24,mlonggo,-6.5333,110.7,77.58,84,99,3.98,ID,1624044352
25,arman,59.7,150.1667,56.8,65,77,5.21,RU,1624044352
26,aloleng,16.1307,119.7824,82.51,77,100,5.39,PH,1624044353
27,mongo,12.1844,18.693,76.87,79,99,2.89,TD,1624044353
28,sao filipe,14.8961,-24.4956,74.43,76,1,10.27,CV,1624044353
29,katherine,-14.4667,132.2667,61.12,51,100,4.61,AU,1624044354
30,chapais,49.7834,-74.8492,76.78,36,68,8.7,CA,1624044354
31,yellowknife,62.456,-114.3525,73.92,31,20,18.41,CA,1624044098
32,mandan,46.8267,-100.8896,84.18,26,1,8.01,US,1624044355
33,busselton,-33.65,115.3333,53.04,66,100,12.88,AU,1624044356
34,acapulco,16.8634,-99.8901,75.02,94,90,14.97,MX,1624044162
35,hokitika,-42.7167,170.9667,44.44,68,100,9.13,NZ,1624044356
36,longyearbyen,78.2186,15.6401,40.84,65,40,11.5,SJ,1624044056
37,nikolskoye,59.7035,30.7861,73.29,65,0,5.41,RU,1624044357
38,airai,-8.9266,125.4092,56.68,84,48,3.02,TL,1624044357
39,puerto madryn,-42.7692,-65.0385,45.48,59,12,19.42,AR,1624044351
40,fort nelson,58.8053,-122.7002,63.99,59,75,2.3,CA,1624044108
41,cidreira,-30.1811,-50.2056,59.16,72,8,6.26,BR,1624044358
42,almaznyy,48.0448,40.045,69.94,79,2,11.9,RU,1624044101
43,kavieng,-2.5744,150.7967,80.47,73,97,1.61,PG,1624044191
44,palembang,-2.9167,104.7458,74.7,95,100,2.84,ID,1624044091
45,cayenne,4.9333,-52.3333,87.84,77,75,5.01,GF,1624044359
46,college,64.8569,-147.8028,67.08,59,75,3.44,US,1624044124
47,cape town,-33.9258,18.4232,59.11,94,24,3.44,ZA,1624044069
48,bredasdorp,-34.5322,20.0403,57.27,93,11,4.61,ZA,1624044360
49,khandbari,27.3747,87.2039,71.91,96,100,0.72,NP,1624044360
50,port elizabeth,-33.918,25.5701,59.29,88,75,9.22,ZA,1624044316
51,tancanhuitz,21.6,-98.9667,86.22,53,93,3.22,MX,1624044360
52,necochea,-38.5473,-58.7368,46.04,65,100,5.32,AR,1624044361
53,pangnirtung,66.1451,-65.7125,48.2,43,90,11.5,CA,1624044095
54,barrow,71.2906,-156.7887,55.42,54,1,6.91,US,1624044098
55,ostrovnoy,68.0531,39.5131,47.53,92,100,11.41,RU,1624044093
56,coquimbo,-29.9533,-71.3436,56.93,82,90,5.75,CL,1624044362
57,meulaboh,4.1363,96.1285,77.59,84,67,3.67,ID,1624044110
58,obo,5.3998,26.4869,68.61,98,100,2.51,CF,1624044362
59,pandan,14.0453,124.1694,81.07,84,33,7.0,PH,1624044363
60,khategaon,22.6,76.9167,78.13,82,100,12.57,IN,1624044363
61,tarata,-17.6167,-66.0167,76.42,31,72,6.58,BO,1624044363
62,bambous virieux,-20.3428,57.7575,71.85,78,20,8.05,MU,1624044364
63,port alfred,-33.5906,26.891,60.3,79,32,11.54,ZA,1624044364
64,tsiroanomandidy,-18.7667,46.0333,58.53,64,90,2.91,MG,1624044364
65,sibut,5.718,19.0739,78.64,64,97,2.44,CF,1624044365
66,betioky,-23.7167,44.3833,64.6,78,0,8.05,MG,1624044365
67,darhan,49.4867,105.9228,55.65,53,42,2.44,MN,1624044366
68,qaanaaq,77.484,-69.3632,36.82,78,31,4.29,GL,1624044098
69,dudinka,69.4058,86.1778,41.14,73,100,7.0,RU,1624044135
70,sitka,57.0531,-135.33,55.29,71,75,4.61,US,1624044366
71,salalah,17.0151,54.0924,80.69,94,75,6.91,OM,1624044366
72,laguna,38.421,-121.4238,108.64,20,1,1.99,US,1624044170
73,san cristobal,7.7669,-72.225,78.94,62,95,7.0,VE,1624044367
74,ahipara,-35.1667,173.1667,57.33,93,8,3.78,NZ,1624044367
75,marawi,7.9986,124.2928,70.65,93,100,3.11,PH,1624044368
76,vanderhoof,54.0166,-124.0198,65.75,41,46,5.82,CA,1624044368
77,gobabis,-22.45,18.9667,57.07,33,4,10.8,NA,1624044368
78,jamestown,42.097,-79.2353,76.32,64,1,18.41,US,1624044103
79,cap-aux-meules,47.3821,-61.8597,64.45,68,20,11.5,CA,1624044369
80,bilibino,68.0546,166.4372,44.51,71,98,3.53,RU,1624044139
81,okhotsk,59.3833,143.3,54.88,66,8,3.96,RU,1624044369
82,sale,34.0389,-6.8166,68.68,64,40,5.75,MA,1624044369
83,jieshi,22.8134,115.8257,84.94,86,42,17.16,CN,1624044370
84,saint george,37.1041,-113.5841,109.44,11,1,3.0,US,1624044370
85,lodja,-3.4833,23.4333,77.47,33,96,1.14,CD,1624044371
86,vao,-22.6667,167.4833,74.01,82,2,13.71,NC,1624044371
87,arlit,18.7369,7.3853,93.94,8,1,1.39,NE,1624044371
88,iqaluit,63.7506,-68.5145,33.53,93,90,10.0,CA,1624043820
89,hithadhoo,-0.6,73.0833,83.26,74,100,10.94,MV,1624044074
90,grindavik,63.8424,-22.4338,45.55,87,90,4.61,IS,1624044154
91,medina del campo,41.3124,-4.9141,59.79,82,100,7.2,ES,1624044372
92,chuy,-33.6971,-53.4616,53.96,75,81,9.15,UY,1624044372
93,upernavik,72.7868,-56.1549,36.75,80,22,2.17,GL,1624044101
94,ortigueira,-24.2083,-50.9494,57.18,98,100,2.13,BR,1624044373
95,esperance,-33.8667,121.9,44.44,70,0,12.91,AU,1624044373
96,aban,56.67,96.06,55.4,95,98,5.39,RU,1624044373
97,cockburn town,21.4612,-71.1419,84.16,70,20,16.11,TC,1624044374
98,carnarvon,-24.8667,113.6333,46.47,47,0,8.05,AU,1624044374
99,vanimo,-2.6741,141.3028,76.68,87,77,1.57,PG,1624044374
100,coahuayana,18.7333,-103.6833,92.68,68,100,5.35,MX,1624044375
101,georgetown,5.4112,100.3354,81.9,87,20,2.3,MY,1624044336
102,marsh harbour,26.5412,-77.0636,82.0,76,100,12.77,BS,1624044375
103,kaitangata,-46.2817,169.8464,42.93,71,51,7.31,NZ,1624044376
104,ponta do sol,32.6667,-17.1,69.71,59,79,6.44,PT,1624044376
105,kortkeros,61.8106,51.5806,59.0,92,100,3.74,RU,1624044376
106,gornopravdinsk,60.05,69.9,48.2,52,100,8.75,RU,1624044122
107,sao jose da coroa grande,-8.8978,-35.1478,77.04,80,94,14.52,BR,1624044377
108,clyde river,70.4692,-68.5914,34.03,100,90,10.36,CA,1624044121
109,kodiak,57.79,-152.4072,47.71,93,90,14.97,US,1624044146
110,havre-saint-pierre,50.2334,-63.5986,64.76,68,75,6.91,CA,1624044377
111,batagay-alyta,67.8006,130.4114,65.17,44,100,2.3,RU,1624044138
112,souillac,-20.5167,57.5167,71.98,78,20,8.05,MU,1624044378
113,cagli,43.5457,12.6527,79.79,61,1,3.04,IT,1624044378
114,tuktoyaktuk,69.4541,-133.0374,57.2,41,75,11.5,CA,1624044093
115,awbari,26.5921,12.7805,93.06,14,0,8.59,LY,1624044379
